gene	ensemblid	complex
crb1	ENSDARG00000100506	crumbs
crb2a	ENSDARG00000060106	crumbs
crb2b	ENSDARG00000060081	crumbs
crb3a	ENSDARG00000102948	crumbs
crb3b	ENSDARG00000068182	crumbs
mpp5a	ENSDARG00000006272	crumbs
mpp5b	ENSDARG00000004721	crumbs
patj	ENSDARG00000024964	crumbs
pax10	ENSDARG00000053364	pax
pax1a	ENSDARG00000008203	pax
pax1b	ENSDARG00000073814	pax
pax2a	ENSDARG00000028148	pax
pax2b	ENSDARG00000032578	pax
pax3a	ENSDARG00000010192	pax
pax3b	ENSDARG00000028348	pax
pax4	ENSDARG00000021336	pax
pax5	ENSDARG00000037383	pax
pax6a	ENSDARG00000103379	pax
pax6b	ENSDARG00000045936	pax
pax7a	ENSDARG00000100398	pax
pax7b	ENSDARG00000070818	pax
pax8	ENSDARG00000015879	pax
pax9	ENSDARG00000053829	pax
lin7a	ENSDARG00000013414	crumbs
lin7b	ENSDARG00000037932	crumbs
lin7c	ENSDARG00000027322	crumbs
PARD3 (1 of many)	ENSDARG00000110804	crumbs
pard3ab	ENSDARG00000010583	crumbs
pard3bb	ENSDARG00000034555	crumbs
pard6a	ENSDARG00000069378	crumbs
pard6b	ENSDARG00000003865	crumbs
pard6ga	ENSDARG00000031876	crumbs
pard6gb	ENSDARG00000036090	crumbs
prkci	ENSDARG00000021225	crumbs
epb41l5	ENSDARG00000032324	crumbs
notch1a	ENSDARG00000103554	crumbs
notch1b	ENSDARG00000052094	crumbs
tjp1a	ENSDARG00000077506	crumbs
tjp1b	ENSDARG00000079374	crumbs
