"SUID","color","gene_name","id","label.cex","mtval","name","rtval","selected","shared name","shared_name","vmcolor","vrcolor"
"3315","#FFFF00",,"ENSDARG00000075733","0.5","-7.822359","ENSDARG00000075733","-2.533572","false","ENSDARG00000075733",,"#FFFF00","#00FF00"
"3316","#0000FF",,"ENSDARG00000057992","0.5","7.073988","ENSDARG00000057992","-2.443038","false","ENSDARG00000057992",,"#0000FF","#00FF00"
"3317","#0000FF",,"ENSDARG00000010207","0.5","7.072564","ENSDARG00000010207","-3.780285","false","ENSDARG00000010207",,"#0000FF","#00FF00"
"3318","#FFFF00",,"ENSDARG00000074321","0.5","-6.5674","ENSDARG00000074321","2.266583","false","ENSDARG00000074321",,"#FFFF00","#FF0000"
"3319","#0000FF",,"ENSDARG00000075226","0.5","4.651403","ENSDARG00000075226","-3.341853","false","ENSDARG00000075226",,"#0000FF","#00FF00"
"3320","#0000FF",,"ENSDARG00000019442","0.5","4.101623","ENSDARG00000019442","-1.200395","false","ENSDARG00000019442",,"#0000FF","#BEBEBE"
"3321","#FFFF00",,"ENSDARG00000087205","0.5","-4.061352","ENSDARG00000087205","-5.976006","false","ENSDARG00000087205",,"#FFFF00","#00FF00"
"3322","#FFFF00",,"ENSDARG00000019728","0.8","-3.44302","ENSDARG00000019728","4.488404","false","ENSDARG00000019728",,"#FFFF00","#FF0000"
"3323","#FFFF00",,"ENSDARG00000016086","0.5","-3.371852","ENSDARG00000016086","-4.032357","false","ENSDARG00000016086",,"#FFFF00","#00FF00"
"3324","#FFFF00",,"ENSDARG00000063309","0.5","-3.219726","ENSDARG00000063309","-3.999942","false","ENSDARG00000063309",,"#FFFF00","#00FF00"
"3325","#FFFF00",,"ENSDARG00000040649","0.5","-3.207209","ENSDARG00000040649","-0.8318472","false","ENSDARG00000040649",,"#FFFF00","#BEBEBE"
"3326","#FFFF00",,"ENSDARG00000052142","0.5","-2.961609","ENSDARG00000052142","-2.621038","false","ENSDARG00000052142",,"#FFFF00","#00FF00"
"3327","#FFFF00",,"ENSDARG00000022904","0.5","-2.939144","ENSDARG00000022904","-2.469005","false","ENSDARG00000022904",,"#FFFF00","#00FF00"
"3328","#0000FF",,"ENSDARG00000067719","0.5","2.722253","ENSDARG00000067719","2.291009","false","ENSDARG00000067719",,"#0000FF","#FF0000"
"3329","#FFFF00",,"ENSDARG00000061948","0.5","-2.582638","ENSDARG00000061948","-0.5675367","false","ENSDARG00000061948",,"#FFFF00","#BEBEBE"
"3330","#FFFF00",,"ENSDARG00000041689","0.5","-2.582412","ENSDARG00000041689","-0.7321108","false","ENSDARG00000041689",,"#FFFF00","#BEBEBE"
"3331","#FFFF00",,"ENSDARG00000059363","0.5","-2.536204","ENSDARG00000059363","-0.8820663","false","ENSDARG00000059363",,"#FFFF00","#BEBEBE"
"3332","#0000FF",,"ENSDARG00000042259","0.5","2.522532","ENSDARG00000042259","-0.5724888","false","ENSDARG00000042259",,"#0000FF","#BEBEBE"
"3333","#FFFF00",,"ENSDARG00000038858","0.5","-2.467733","ENSDARG00000038858","-1.586498","false","ENSDARG00000038858",,"#FFFF00","#83F083"
"3334","#0000FF",,"ENSDARG00000013409","0.5","2.437223","ENSDARG00000013409","1.677735","false","ENSDARG00000013409",,"#0000FF","#E64C4C"
"3335","#0000FF",,"ENSDARG00000023058","0.5","2.397172","ENSDARG00000023058","-0.7437865","false","ENSDARG00000023058",,"#0000FF","#BEBEBE"
"3336","#FFFF00",,"ENSDARG00000031126","0.5","-2.246861","ENSDARG00000031126","1.388316","false","ENSDARG00000031126",,"#FFFF00","#BEBEBE"
"3337","#0000FF",,"ENSDARG00000045094","0.5","2.061826","ENSDARG00000045094","-0.00811906","false","ENSDARG00000045094",,"#0000FF","#BEBEBE"
"3338","#FFFF00",,"ENSDARG00000042151","0.5","-2.05052","ENSDARG00000042151","-2.38328","false","ENSDARG00000042151",,"#FFFF00","#00FF00"
"3339","#FFFF00",,"ENSDARG00000040777","0.5","-2.025614","ENSDARG00000040777","-0.9045522","false","ENSDARG00000040777",,"#FFFF00","#BEBEBE"
"3340","#FFFF00",,"ENSDARG00000023933","0.5","-2.01377","ENSDARG00000023933","-3.787812","false","ENSDARG00000023933",,"#FFFF00","#00FF00"
"3341","#FFFF00",,"ENSDARG00000021380","0.5","-1.988199","ENSDARG00000021380","-2.873174","false","ENSDARG00000021380",,"#FFFF00","#00FF00"
"3342","#FFFF14",,"ENSDARG00000019516","0.5","-1.932923","ENSDARG00000019516","-0.4002991","false","ENSDARG00000019516",,"#FFFF14","#BEBEBE"
"3343","#1F27FA",,"ENSDARG00000016181","0.5","1.899751","ENSDARG00000016181","-0.4904621","false","ENSDARG00000016181",,"#1F27FA","#BEBEBE"
"3344","#3F4FF6",,"ENSDARG00000052433","0.5","1.818468","ENSDARG00000052433","-0.682036","false","ENSDARG00000052433",,"#3F4FF6","#BEBEBE"
"3345","#4F62F4",,"ENSDARG00000063230","0.5","1.776722","ENSDARG00000063230","0.4942906","false","ENSDARG00000063230",,"#4F62F4","#BEBEBE"
"3346","#5E76F1",,"ENSDARG00000038067","0.5","1.736497","ENSDARG00000038067","-1.952836","false","ENSDARG00000038067",,"#5E76F1","#0DFD0D"
"3347","#FFFF7A",,"ENSDARG00000008034","0.5","-1.735853","ENSDARG00000008034","-2.304008","false","ENSDARG00000008034",,"#FFFF7A","#00FF00"
"3348","#FFFFA3",,"ENSDARG00000043332","0.5","-1.641105","ENSDARG00000043332","-1.589681","false","ENSDARG00000043332",,"#FFFFA3","#83F083"
"3349","#8EB1EB",,"ENSDARG00000018260","0.5","1.614991","ENSDARG00000018260","-0.6795381","false","ENSDARG00000018260",,"#8EB1EB","#BEBEBE"
"3350","#FFFFCC",,"ENSDARG00000006110","0.5","-1.579671","ENSDARG00000006110","-0.6496278","false","ENSDARG00000006110",,"#FFFFCC","#BEBEBE"
"3351","#FFFFCC",,"ENSDARG00000011941","0.5","-1.567839","ENSDARG00000011941","-1.369918","false","ENSDARG00000011941",,"#FFFFCC","#BEBEBE"
"3352","#ADD8E6",,"ENSDARG00000006389","0.5","1.540083","ENSDARG00000006389","2.519482","false","ENSDARG00000006389",,"#ADD8E6","#FF0000"
"3353","#FFFFE0",,"ENSDARG00000017494","0.5","-1.526486","ENSDARG00000017494","1.221037","false","ENSDARG00000017494",,"#FFFFE0","#BEBEBE"
"3354","#FFFFE0",,"ENSDARG00000088347","0.5","-1.524565","ENSDARG00000088347","0.8517339","false","ENSDARG00000088347",,"#FFFFE0","#BEBEBE"
