SUID,color,id,label.cex,mtval,name,rtval,selected,shared.name,shared_name,vmcolor,vrcolor,gene_name,log2FoldChange,padj
3315,#FFFF00,ENSDARG00000075733,0.5,-7.822359,ENSDARG00000075733,-2.533572,false,ENSDARG00000075733,NA,#FFFF00,#00FF00,zyx,-0.81249588954382,0.0544635009989964
3316,#0000FF,ENSDARG00000057992,0.5,7.073988,ENSDARG00000057992,-2.443038,false,ENSDARG00000057992,NA,#0000FF,#00FF00,fstb,-2.21803082574105,0.0660370257697095
3317,#0000FF,ENSDARG00000010207,0.5,7.072564,ENSDARG00000010207,-3.780285,false,ENSDARG00000010207,NA,#0000FF,#00FF00,smad3b,-1.5544621748534,0.00195275173694263
3318,#FFFF00,ENSDARG00000074321,0.5,-6.5674,ENSDARG00000074321,2.266583,false,ENSDARG00000074321,NA,#FFFF00,#FF0000,tead3a,0.787712411497344,0.0921578679898977
3319,#0000FF,ENSDARG00000075226,0.5,4.651403,ENSDARG00000075226,-3.341853,false,ENSDARG00000075226,NA,#0000FF,#00FF00,smad4a,-1.64597179366233,0.00738162584734164
3320,#0000FF,ENSDARG00000019442,0.5,4.101623,ENSDARG00000019442,-1.200395,false,ENSDARG00000019442,NA,#0000FF,#BEBEBE,CABZ01086041.1,-1.48160030498944,0.438644566819726
3321,#FFFF00,ENSDARG00000087205,0.5,-4.061352,ENSDARG00000087205,-5.976006,false,ENSDARG00000087205,NA,#FFFF00,#00FF00,akt3b,-1.9523877549422,2.24600487662686e-07
3322,#FFFF00,ENSDARG00000019728,0.8,-3.44302,ENSDARG00000019728,4.488404,false,ENSDARG00000019728,NA,#FFFF00,#FF0000,bmpr1aa,0.790282651321276,0.000166373125696584
3323,#FFFF00,ENSDARG00000016086,0.5,-3.371852,ENSDARG00000016086,-4.032357,false,ENSDARG00000016086,NA,#FFFF00,#00FF00,smurf1,-1.04115619502273,0.000878257129101234
3324,#FFFF00,ENSDARG00000063309,0.5,-3.219726,ENSDARG00000063309,-3.999942,false,ENSDARG00000063309,NA,#FFFF00,#00FF00,tjp2a,-1.4684716664803,0.000980417384673121
3325,#FFFF00,ENSDARG00000040649,0.5,-3.207209,ENSDARG00000040649,-0.8318472,false,ENSDARG00000040649,NA,#FFFF00,#BEBEBE,prickle1a,-1.0580247372446,0.626403791308609
3326,#FFFF00,ENSDARG00000052142,0.5,-2.961609,ENSDARG00000052142,-2.621038,false,ENSDARG00000052142,NA,#FFFF00,#00FF00,acvr1bb,-1.70651563026674,0.0451067482120103
3327,#FFFF00,ENSDARG00000022904,0.5,-2.939144,ENSDARG00000022904,-2.469005,false,ENSDARG00000022904,NA,#FFFF00,#00FF00,skilb,-1.54387055593885,0.062412682239043
3328,#0000FF,ENSDARG00000067719,0.5,2.722253,ENSDARG00000067719,2.291009,false,ENSDARG00000067719,NA,#0000FF,#FF0000,wwtr1,1.10516681718804,0.0880960432002107
3329,#FFFF00,ENSDARG00000061948,0.5,-2.582638,ENSDARG00000061948,-0.5675367,false,ENSDARG00000061948,NA,#FFFF00,#BEBEBE,amotl2b,-0.310388917433772,0.759508487461893
3330,#FFFF00,ENSDARG00000041689,0.5,-2.582412,ENSDARG00000041689,-0.7321108,false,ENSDARG00000041689,NA,#FFFF00,#BEBEBE,usf1,-0.172613844482911,0.677174438534493
3331,#FFFF00,ENSDARG00000059363,0.5,-2.536204,ENSDARG00000059363,-0.8820663,false,ENSDARG00000059363,NA,#FFFF00,#BEBEBE,tgfbr2a,-2.69813971111353,NA
3332,#0000FF,ENSDARG00000042259,0.5,2.522532,ENSDARG00000042259,-0.5724888,false,ENSDARG00000042259,NA,#0000FF,#BEBEBE,tgfbr1b,-0.205296815453883,0.756935147427044
