SUID,color,id,label.cex,mtval,name,rtval,selected,shared.name,shared_name,vmcolor,vrcolor,gene_name,log2FoldChange,padj
2642,#FFFF00,ENSDARG00000042835,0.5,-16.16785,ENSDARG00000042835,1.506824,false,ENSDARG00000042835,NA,#FFFF00,#BEBEBE,tfdp2,0.31658186609205,0.307417514731009
2643,#FFFF00,ENSDARG00000003486,0.5,-4.379351,ENSDARG00000003486,1.028617,false,ENSDARG00000003486,NA,#FFFF00,#BEBEBE,ppp1caa,0.171627000731548,0.522952618196244
2644,#FFFF00,ENSDARG00000041239,0.5,-3.493644,ENSDARG00000041239,-0.01444435,false,ENSDARG00000041239,NA,#FFFF00,#BEBEBE,wdr20b,-0.0163662833626008,0.994623628790817
2645,#0000FF,ENSDARG00000097662,0.5,3.102641,ENSDARG00000097662,-0.7740514,false,ENSDARG00000097662,NA,#0000FF,#BEBEBE,tesmin,-2.37619149779442,NA
2646,#FFFF00,ENSDARG00000020596,0.5,-2.692652,ENSDARG00000020596,-1.157869,false,ENSDARG00000020596,NA,#FFFF00,#BEBEBE,miga1,-0.427693769999364,0.459230829950719
2647,#1F27FA,ENSDARG00000045636,0.5,1.886672,ENSDARG00000045636,-0.4094497,false,ENSDARG00000045636,NA,#1F27FA,#BEBEBE,rbl2,-0.270688022076388,0.834637493957382
2648,#3F4FF6,ENSDARG00000028475,0.5,1.834013,ENSDARG00000028475,0.5123543,false,ENSDARG00000028475,NA,#3F4FF6,#BEBEBE,lin9,0.134302288060495,0.786268670871753
2649,#FFFF66,ENSDARG00000070228,0.8,-1.786948,ENSDARG00000070228,6.910739,false,ENSDARG00000070228,NA,#FFFF66,#FF0000,cdk6,1.72912021942382,1.2903393664827e-09
2650,#BEBEBE,ENSDARG00000051748,0.5,-1.355956,ENSDARG00000051748,2.394043,false,ENSDARG00000051748,NA,#BEBEBE,#FF0000,ccnd2a,1.14678707236879,0.0729036338669685
2651,#BEBEBE,ENSDARG00000095322,0.5,-1.306183,ENSDARG00000095322,0.7473189,false,ENSDARG00000095322,NA,#BEBEBE,#BEBEBE,fkbpl,0.214352626063843,0.66935337809837
2652,#BEBEBE,ENSDARG00000027391,0.5,-1.068353,ENSDARG00000027391,-0.2814543,false,ENSDARG00000027391,NA,#BEBEBE,#BEBEBE,ccnd3,-0.264332079823275,0.890709533673606
2653,#BEBEBE,ENSDARG00000070463,0.5,0.990665,ENSDARG00000070463,1.095692,false,ENSDARG00000070463,NA,#BEBEBE,#BEBEBE,e2f3,0.317379977214684,0.489724284342484
2654,#BEBEBE,ENSDARG00000059131,0.5,-0.9457933,ENSDARG00000059131,-1.695157,false,ENSDARG00000059131,NA,#BEBEBE,#5CF45C,spdya,-1.59074422400306,0.239073991793871
2655,#BEBEBE,ENSDARG00000079626,0.5,0.9096284,ENSDARG00000079626,2.860241,false,ENSDARG00000079626,NA,#BEBEBE,#FF0000,elf2b,0.597579756695316,0.0260037370047113
2656,#BEBEBE,ENSDARG00000087646,0.5,-0.8926752,ENSDARG00000087646,-0.4124042,false,ENSDARG00000087646,NA,#BEBEBE,#BEBEBE,runx1,-0.573628518459048,0.833700349172067
2657,#BEBEBE,ENSDARG00000032264,0.5,-0.8825623,ENSDARG00000032264,0.7960799,false,ENSDARG00000032264,NA,#BEBEBE,#BEBEBE,mybl2b,0.251450285135724,0.645544079989865
2658,#BEBEBE,ENSDARG00000079233,0.5,-0.7706536,ENSDARG00000079233,1.29015,false,ENSDARG00000079233,NA,#BEBEBE,#BEBEBE,si:ch211-160f23.5,0.396178133848032,0.397518249745251
2659,#BEBEBE,ENSDARG00000054271,0.5,0.6316651,ENSDARG00000054271,-0.9994125,false,ENSDARG00000054271,NA,#BEBEBE,#BEBEBE,cdkn1bb,-0.187315118900225,0.537792688356387
2660,#BEBEBE,ENSDARG00000007971,0.5,-0.6287834,ENSDARG00000007971,5.342677,false,ENSDARG00000007971,NA,#BEBEBE,#FF0000,cks1b,1.21231644440614,4.52243733457278e-06
2661,#BEBEBE,ENSDARG00000040990,0.5,-0.6137191,ENSDARG00000040990,3.159722,false,ENSDARG00000040990,NA,#BEBEBE,#FF0000,usp37,0.793482987265875,0.0121096069548543
2662,#BEBEBE,ENSDARG00000087937,0.5,0.5952895,ENSDARG00000087937,-0.3549074,false,ENSDARG00000087937,NA,#BEBEBE,#BEBEBE,cdk4,-0.465005927441736,0.86003140314399
2663,#BEBEBE,ENSDARG00000006782,0.5,0.5189936,ENSDARG00000006782,0.106238,false,ENSDARG00000006782,NA,#BEBEBE,#BEBEBE,rb1,0.0314013555191479,0.96082411968989
2664,#BEBEBE,ENSDARG00000079220,0.5,0.3504103,ENSDARG00000079220,-1.759207,false,ENSDARG00000079220,NA,#BEBEBE,#4FF64F,wdr20a,-0.775692360652335,0.217173785412701
2665,#BEBEBE,ENSDARG00000063194,0.5,-0.3448531,ENSDARG00000063194,1.007465,false,ENSDARG00000063194,NA,#BEBEBE,#BEBEBE,lin54,0.252925247834819,0.533466850228809
2666,#BEBEBE,ENSDARG00000023814,0.5,-0.2830319,ENSDARG00000023814,1.321474,false,ENSDARG00000023814,NA,#BEBEBE,#BEBEBE,dyrk1ab,0.310828160244003,0.384389848458761
2667,#BEBEBE,ENSDARG00000042725,0.5,0.2482728,ENSDARG00000042725,3.301725,false,ENSDARG00000042725,NA,#BEBEBE,#FF0000,cebpb,3.47804007626814,0.00825312905671098
2668,#BEBEBE,ENSDARG00000008141,0.5,0.2412968,ENSDARG00000008141,1.483796,false,ENSDARG00000008141,NA,#BEBEBE,#BEBEBE,rbl1,0.537797498158219,0.316052830391722
2669,#BEBEBE,ENSDARG00000076554,0.5,-0.2360669,ENSDARG00000076554,1.089211,false,ENSDARG00000076554,NA,#BEBEBE,#BEBEBE,cdkn1a,1.1891692821372,0.492820154397647
2670,#BEBEBE,ENSDARG00000094176,0.5,-0.1352827,ENSDARG00000094176,-0.4273976,false,ENSDARG00000094176,NA,#BEBEBE,#BEBEBE,cdkn2d,-0.318577454996955,0.827364523273419
2671,#BEBEBE,ENSDARG00000029018,0.5,0.07258237,ENSDARG00000029018,-0.2098384,false,ENSDARG00000029018,NA,#BEBEBE,#BEBEBE,cdkn1ba,-0.0782482457581419,0.922077353153058
2672,#BEBEBE,ENSDARG00000043236,0.5,-0.04138776,ENSDARG00000043236,0.2245834,false,ENSDARG00000043236,NA,#BEBEBE,#BEBEBE,ccna1,0.254724609605264,0.915366554184508
2673,#BEBEBE,ENSDARG00000011094,0.5,-0.03647342,ENSDARG00000011094,1.121156,false,ENSDARG00000011094,NA,#BEBEBE,#BEBEBE,ccna2,0.311680657262326,0.477082117827292
2674,#BEBEBE,ENSDARG00000037773,0.5,0.328085,ENSDARG00000037773,-0.8281402,false,ENSDARG00000037773,NA,#BEBEBE,#BEBEBE,rybpa,-0.218093413988248,0.627997987843348
2675,#BEBEBE,ENSDARG00000053459,0.5,0.1752403,ENSDARG00000053459,1.02186,false,ENSDARG00000053459,NA,#BEBEBE,#BEBEBE,rybpb,0.214549829756828,0.526078780076704
2676,#BEBEBE,ENSDARG00000070833,0.5,0.06823418,ENSDARG00000070833,4.805784,false,ENSDARG00000070833,NA,#BEBEBE,#FF0000,lin52,1.13424472482251,4.65294192661826e-05
2677,#BEBEBE,ENSDARG00000026577,0.5,-0.01679656,ENSDARG00000026577,3.062752,false,ENSDARG00000026577,NA,#BEBEBE,#FF0000,cdk2,0.831408074580433,0.0155825471379904
