EntrezID,Symbol,stat(DNAm),P(DNAm),stat(mRNA),P(mRNA),stat(Int)
ENSDARG00000010946,cbsb,-2.32004701681691,0.0633074663271492,4.31592998337788,1.58932353933162e-05,6.81046985476017
ENSDARG00000040314,psph,-1.2171003019254,0.273164335729047,3.06370108727513,0.00218617225413895,4.4046666859761
ENSDARG00000013430,bhmt,-0.787596960892181,0.463487853640786,-1.00767982156354,0.313608195097909,0
ENSDARG00000056331,ahcyl1,-0.602132309331569,0.571036751297761,-4.5915323899377,4.40003338160965e-06,0
ENSDARG00000093235,TST,-0.523829365022433,0.620805415991775,0.441565597755026,0.658803583132753,0.983247439978639
ENSDARG00000018478,agxtb,-0.176552998172829,0.866174814184192,-1.63293188128622,0.102483324039285,0
ENSDARG00000074301,cth,0.205332023658466,0.844693897870159,0.0937346133209642,0.925319973859424,0
ENSDARG00000039343,ahcyl2b,-0.702735990412276,0.510830152724374,-3.63825074108892,0.000274496115834618,0
ENSDARG00000005191,ahcy,-0.181058543100893,0.862802836945375,3.95658096449487,7.60301271376749e-05,4.29760389753552
ENSDARG00000016733,psat1,-1.00854690229766,0.35545403067645,2.47526158962924,0.0133138619065799,3.5838832063532
ENSDARG00000019986,grhprb,5.7976354264454,0.00155596113803059,-3.6917485185603,0.00022271762736599,9.63864117110114
ENSDARG00000018944,hoga1,-3.37895924904125,0.0169840810280914,-1.06172097683692,0.288362373475989,0
ENSDARG00000030166,hyi,3.0775387452728,0.0242960042979462,3.61934102655768,0.000295354191881177,0
ENSDARG00000011909,itpr2,0.404908820744996,0.700807353476754,-2.13808114310446,0.0325101581036183,2.6294324880307
ENSDARG00000037121,mat2ab,-4.27410915148788,0.00637286562599909,2.56015118111273,0.0104626637490561,6.93776712938179
ENSDARG00000043856,amd1,-1.358677096967,0.22728539392037,1.75297385329034,0.0796064952751156,3.18252360408101
ENSDARG00000063665,mat2al,-2.88230206497097,0.0308647014100554,0.879279872568078,0.379249546308349,3.79713118312857
ENSDARG00000040334,mat2aa,1.83952043428225,0.119870328353556,-0.988020026254498,0.32314284046705,2.86748606563528
ENSDARG00000069630,tat,0.737218015746855,0.491206159492605,0.360924977327676,0.71815553115292,0
ENSDARG00000039605,mat1a,-0.592666863851286,0.576921493515051,0.71735028853569,0.473157984883788,1.33901959219763
ENSDARG00000020448,adi1,-0.950958230583277,0.381493061890784,6.08589986346023,1.15838828693679e-09,7.28291075102918
ENSDARG00000075754,mri1,-2.03335334947191,0.0925095363560913,-2.91899321502945,0.00351163866945276,0
ENSDARG00000008155,sms,-0.469262025854752,0.656889959281869,-2.24916024876165,0.0245023025194459,0
ENSDARG00000055760,srm,-4.28122674680304,0.0063264589007455,-1.16023598147942,0.245952741097771,0
ENSDARG00000008239,mocs3,-0.441685472924153,0.675536244733313,1.54645533080631,0.121994640122585,2.05066392300476
ENSDARG00000091198,urm1,-0.492723024722424,0.641240288080804,1.32236313615648,0.186047258086458,1.8685492428308
ENSDARG00000020986,ctu1,-0.765010186906568,0.475774280430673,-1.64924059796984,0.0990983537849231,0
ENSDARG00000005713,ethe1,-2.23986191384064,0.0703459037558715,3.08485734675652,0.00203649804482727,5.44943990398935
ENSDARG00000088342,tmem145,0.143212767496836,0.891219730644067,-1.08804312896548,0.276576068181774,1.27524543109208
ENSDARG00000017034,sqor,-0.840364643352954,0.435681349014431,-0.787390561080028,0.431053270489227,0
ENSDARG00000092112,tomm40,-1.09806438658172,0.317875510700951,0.1966968243604,0.844064795342114,1.30271365467934
ENSDARG00000061741,itpr3,-0.992632015239043,0.362502414759103,-0.476088171033808,0.634011563891937,0
ENSDARG00000018351,hpda,0.777328064070179,0.469045333076594,0.250895030668029,0.801895266513013,0
