EntrezID,Symbol,stat(DNAm),P(DNAm),stat(mRNA),P(mRNA),stat(Int)
ENSDARG00000019585,gstk2,71.0345699044253,2.28492812288336e-09,-0.18896227839304,0.850122381599064,71.231171919211
ENSDARG00000070654,pex5,-2.45689253267299,0.0529625470551185,-1.18919070513754,0.234364631288967,0
ENSDARG00000021220,hmgcl,-0.965598930713149,0.374732899851107,0.18718550348868,0.851515190493796,1.1603523356652
ENSDARG00000070387,nudt7,-0.523931603962786,0.62073885656993,-1.1274341464307,0.259558968746394,0
ENSDARG00000040255,ephx2,0.330878973746571,0.752965722689266,-0.431329662667748,0.666228685140842,0.779647275221595
ENSDARG00000032431,mpv17,-4.47378458222745,0.00520589620499361,3.48920568242213,0.000484458223680453,8.1040586930153
ENSDARG00000077537,nudt19,-0.405090072286585,0.700681714107259,0.763633298162925,0.445085800242131,1.19959703025187
ENSDARG00000012468,aacs,0.330976436147863,0.752896007122454,-0.879612644112174,0.379069186825463,1.24615177978808
ENSDARG00000054319,oxct1b,0.162155258694378,0.876970931134112,-2.01539978242523,,2.25903756342193
ENSDARG00000088740,hmgcll1,0.567313517826521,0.592864271957724,-0.525992279976938,0.598893570866969,1.11457164195895
ENSDARG00000042975,auh,0.330310024045147,0.753372748530009,-0.115985038068472,0.907664399652034,0.450984331971422
ENSDARG00000013063,oxct1a,-1.33407173522797,0.234720490463261,-0.175246725979605,0.860885770361475,0
