EntrezID,Symbol,stat(DNAm),P(DNAm),stat(mRNA),P(mRNA),stat(Int)
ENSDARG00000016710,rchy1,-5.37347657359355,0.00223792500985098,3.54949888188762,0.000385965104516155,9.06648153518186
ENSDARG00000063005,anapc7,-3.98964302606071,0.00858725355343004,-1.65314951992031,0.0983004371821954,0
ENSDARG00000068888,klhl41a,-3.39088923553434,0.0167499697268252,-0.350852675696746,0.72569887655552,0
ENSDARG00000011262,traip,-1.03363076874988,0.344571898894979,0.883813910450998,0.376796675976498,1.95317723573751
ENSDARG00000031269,rnf123,-0.987202946849066,0.364932544962831,-1.63664789633628,0.101704061687495,0
ENSDARG00000012848,arih2,0.175114883329315,0.867251775613945,-0.537874482059297,0.590663706572401,0.734735606438368
ENSDARG00000023031,hoxa2b,-0.40193708316348,0.702868799464363,-1.28242935345729,0.199692072641525,0
ENSDARG00000059722,ubac1,0.176749379503518,0.866027774921307,-0.359470340914337,0.719243261609327,0.550753090087732
ENSDARG00000039123,trim9,0.11771224178569,0.910472482200958,-1.62666904538454,0.103807406425706,1.81014744330702
ENSDARG00000004132,usp19,-0.948298415072569,0.382731516202183,-2.67481703993883,0.00747700425067436,0
