seqnames,start,end,width,strand,gene_name,gene_id,EnrichNumber,MeanMethDiff,MeanBeta.WildType_1,MeanBeta.WildType_2,MeanBeta.WildType_3,MeanBeta.Mutation_1,MeanBeta.Mutation_2,MeanBeta.Mutation_3
4,15081385,15105696, 24312,-,nrf1,ENSDARG00000000018,  8, 4.963248e-01,0.3693378110,0.3514917467,0.3506736414,0.3692246972,0.3465101685,0.3591843234
4,15009341,15059876, 50536,+,ube2h,ENSDARG00000000019,  4, 5.274910e-01,0.6611524343,0.6901192946,0.6061032656,0.6937390074,0.6215359570,0.6672566940
12,33482458,33537126, 54669,+,slc9a3r1a,ENSDARG00000000068,  9, 4.007546e-01,0.6435849215,0.6723834946,0.6282777666,0.6615072292,0.6340544904,0.6711882161
24,22070290,22105585, 35296,-,dap,ENSDARG00000000069,  1,-3.235294e+01,0.5000000000,0.1111111111,0.3076923077,0.0000000000,0.0000000000,0.0000000000
1,46999441,47091818, 92378,-,itsn1,ENSDARG00000000086, 15,-2.099766e+00,0.9750219450,0.9367241722,0.9591160909,0.9321084414,0.9388888780,0.9264469531
10,13277079,13287169, 10091,+,tmem267,ENSDARG00000000142,  9,-2.325085e+00,0.9434210526,0.9312686482,0.9292328042,0.9451478987,0.9028589994,0.8584241808
20,25359064,25438389, 79326,-,itsn2a,ENSDARG00000000161,  3, 1.213402e-01,0.0000000000,0.0000000000,0.0128205128,0.0091324201,0.0059523810,0.0000000000
3,23750150,23754831,  4682,+,hoxb2a,ENSDARG00000000175, 11, 5.383946e-01,0.0020661157,0.0016528926,0.0030303030,0.0072118503,0.0088895415,0.0082187517
22,11778053,11835334, 57282,-,ptpn4b,ENSDARG00000000183, 22,-5.849739e-01,0.6594376852,0.6477017203,0.6085248085,0.6459840220,0.6464513980,0.6200261366
16,30000605,30271444,270840,+,sema6e,ENSDARG00000000189, 25,-1.389997e+00,0.6666689444,0.6736223502,0.6896496163,0.6058228962,0.6835492317,0.6705183229
