ovIndex,chr,start.x,end.x,strand.x,pvalue,qvalue,meth.diff,seqnames,start.y,end.y,width,strand.y,gene_id,gene_name
1,1,38081,38081,+,1.22732447578059e-27,1.5095898918112e-25,30.9906623869273,NA,NA,NA,NA,NA,NA,NA
2,1,38082,38082,-,1.06762728183272e-15,6.11106478292111e-14,24.7729622266402,NA,NA,NA,NA,NA,NA,NA
3,1,38093,38093,+,9.16634942225365e-12,3.7978624802695e-10,26.2464562464562,NA,NA,NA,NA,NA,NA,NA
4,1,38094,38094,-,1.02336485487239e-07,2.85650131634399e-06,16.7739785051136,NA,NA,NA,NA,NA,NA,NA
5,1,38109,38109,+,1.09026291317561e-15,6.23468243122211e-14,29.5839074125103,NA,NA,NA,NA,NA,NA,NA
6,1,38110,38110,-,1.1070258919758e-12,4.97007212943626e-11,27.8036066497605,NA,NA,NA,NA,NA,NA,NA
7,1,38111,38111,+,6.58234984778327e-10,2.31089534777874e-08,23.7879911045219,NA,NA,NA,NA,NA,NA,NA
8,1,38112,38112,-,1.24197389912982e-08,3.82883261468593e-07,22.7626413954893,NA,NA,NA,NA,NA,NA,NA
9,1,38129,38129,+,2.01909780257899e-07,5.44708250177851e-06,16.311654973795,NA,NA,NA,NA,NA,NA,NA
10,1,38178,38178,+,1.22166623290021e-20,9.8360585165745e-19,28.5444234404537,NA,NA,NA,NA,NA,NA,NA
11,1,38179,38179,-,3.2653539294753e-16,1.94188505315849e-14,22.7197667409619,NA,NA,NA,NA,NA,NA,NA
12,1,38209,38209,-,3.34074172313166e-28,4.22779894180562e-26,28.4295252645278,NA,NA,NA,NA,NA,NA,NA
13,1,67471,67471,-,1.38975327039094e-12,6.19121629828931e-11,25.610354557723,NA,NA,NA,NA,NA,NA,NA
14,1,110666,110666,-,1.38051442926301e-05,0.000290536263061155,-20.1202590194265,1,110605,112804,2200,-,ENSDARG00000096573,FP067451.1
15,1,133438,133438,+,8.26039829116501e-19,5.87079641424323e-17,-22.6421404682274,NA,NA,NA,NA,NA,NA,NA
