seqnames,start,end,width,strand,gene_name,gene_id,EnrichNumber,MeanMethDiff,MeanBeta.WildType_1,MeanBeta.WildType_2,MeanBeta.WildType_3,MeanBeta.Mutation_1,MeanBeta.Mutation_2,MeanBeta.Mutation_3
4,15103497,15105696,2200,-,nrf1,ENSDARG00000000018, 5,-1.571696e-01,0.0074074074,0.0020202020,0.0076923077,0.0026402928,0.0000000000,0.0050632911
12,33482458,33484657,2200,+,slc9a3r1a,ENSDARG00000000068, 2, 7.067226e-01,0.0000000000,0.0000000000,0.0000000000,0.0151515152,0.0000000000,0.0065789474
20,25436190,25438389,2200,-,itsn2a,ENSDARG00000000161, 3, 1.213402e-01,0.0000000000,0.0000000000,0.0128205128,0.0091324201,0.0059523810,0.0000000000
3,23750150,23752349,2200,+,hoxb2a,ENSDARG00000000175, 2, 1.399224e+00,0.0113636364,0.0000000000,0.0000000000,0.0228735632,0.0144927536,0.0089285714
16,30000605,30002804,2200,+,sema6e,ENSDARG00000000189, 1,-2.702703e+00,0.0000000000,0.0196078431,0.0425531915,0.0000000000,0.0000000000,0.0000000000
22,  565733,  567932,2200,+,usp49,ENSDARG00000000229,25, 4.560868e-02,0.0043081080,0.0043634541,0.0025499621,0.0063890132,0.0027998111,0.0057727896
7,32691890,32694089,2200,+,slc39a13,ENSDARG00000000442, 2,-2.937755e-01,0.0333333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0054347826
22,20924548,20926747,2200,-,ell,ENSDARG00000000568, 3,-7.075788e-01,0.0000000000,0.0136986301,0.0000000000,0.0000000000,0.0000000000,0.0000000000
6,41198500,41200699,2200,+,opn1mw4,ENSDARG00000000638, 6, 1.578825e+00,0.0400590990,0.0447809359,0.0371693122,0.0712606838,0.0666367689,0.0231115397
9, 7238640, 7240839,2200,-,creg2,ENSDARG00000000666, 4,-2.346926e-01,0.0131578947,0.0130066546,0.0000000000,0.0100000000,0.0051020408,0.0036231884
6,41138656,41140855,2200,-,slc6a22.1,ENSDARG00000000730, 1,-3.479853e-01,0.0000000000,0.0000000000,0.0571428571,0.0000000000,0.0000000000,0.0166666667
13,24669059,24671258,2200,-,znf511,ENSDARG00000000760, 2, 1.647461e+01,0.7058823529,0.7833333333,0.9473684211,0.9793792517,1.0000000000,0.9515460030
17,28797196,28799395,2200,-,scfd1,ENSDARG00000000779, 3, 3.691972e-01,0.0000000000,0.0064102564,0.0000000000,0.0125000000,0.0000000000,0.0000000000
22,  506323,  508522,2200,-,dstyk,ENSDARG00000000853,36, 1.746276e-01,0.0029802289,0.0021804378,0.0000000000,0.0038675217,0.0026392768,0.0069969884
7,41158225,41160424,2200,+,scrib,ENSDARG00000000861,11,-1.583759e+00,0.0653907496,0.0407671333,0.0188395584,0.0247474747,0.0108808675,0.0188712841
3, 5228642, 5230841,2200,-,myh9b,ENSDARG00000001014, 4,-8.952513e+00,0.1570805169,0.1776513117,0.4166666667,0.0921029462,0.0399949670,0.2282319450
19, 6988667, 6990866,2200,-,znf384l,ENSDARG00000001015, 1,-1.300382e-01,0.0064516129,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0065789474
7,17690784,17692983,2200,-,map4k2,ENSDARG00000001234, 5,-5.065855e+00,0.9235130808,0.9156527568,0.8832653061,0.8693464944,0.8310978217,0.9217010632
7,41144560,41146759,2200,+,puf60b,ENSDARG00000001241, 3,-2.948711e+00,0.8888888889,0.9558629776,0.9607843137,0.9361111111,0.9657894737,0.8796296296
17,25424091,25426290,2200,+,srrm1,ENSDARG00000001244, 3,-3.719531e-02,0.0000000000,0.0000000000,0.0444444444,0.0289855072,0.0000000000,0.0092592593
14, 5407356, 5409555,2200,-,pcgf1,ENSDARG00000001249, 3,-8.495132e-01,0.9365079365,0.9375000000,1.0000000000,0.9600000000,0.9369369369,0.9428571429
18,23371683,23373882,2200,+,mctp2a,ENSDARG00000001414, 1, 1.649704e+00,0.8250000000,0.9242424242,0.8205128205,0.8541666667,0.8750000000,0.9333333333
14,32824209,32826408,2200,-,inppl1b,ENSDARG00000001442, 2,-9.102665e-01,0.9347826087,0.8511764706,0.8962223187,0.8888888889,0.8221153846,0.8950123153
13,24669481,24671680,2200,+,adam8a,ENSDARG00000001452, 3,-1.264161e-01,0.0000000000,0.0040650407,0.0180180180,0.0000000000,0.0246913580,0.0040160643
17,25412033,25414232,2200,+,tdh2,ENSDARG00000001463, 9,-3.243123e-01,0.0247295799,0.0162096560,0.0207570208,0.0418470418,0.0041152263,0.0124926396
17,28704946,28707145,2200,+,strn3,ENSDARG00000001729,10, 8.284305e-01,0.1695652174,0.1876814149,0.1902150538,0.1961111631,0.1830065359,0.1934293793
11, 8127536, 8129735,2200,+,prkacba,ENSDARG00000001782, 1,-5.242567e+00,0.9444444444,0.8846153846,1.0000000000,0.9272727273,0.8780487805,0.8857142857
21,43176817,43179016,2200,+,aff4,ENSDARG00000001857, 1, 1.068794e+00,1.0000000000,1.0000000000,0.5000000000,0.9200000000,0.9615384615,0.8500000000
7,29625310,29627509,2200,-,rorab,ENSDARG00000001910, 6,-1.811989e-01,0.0000000000,0.0055555556,0.0090090090,0.0031446541,0.0000000000,0.0081526529
23,37464967,37467166,2200,+,pink1,ENSDARG00000001929, 4, 5.838934e-01,0.0125000000,0.0000000000,0.0000000000,0.0058481532,0.0089285714,0.0138888889
