X,gene_id,gene_name,gene_biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,M.56.2,X1.56.R,X2.56.R,X3.56.R,X4.56.R,X5.56.R,M.56.1,M.56.3,M.56.4,M.56.5,M.56.6,seqnames,start,end,width,strand,gene_name,gene_id,EnrichNumber,MeanMethDiff,MeanBeta.WildType_1,MeanBeta.WildType_2,MeanBeta.WildType_3,MeanBeta.Mutation_1,MeanBeta.Mutation_2,MeanBeta.Mutation_3
   1,ENSDARG00000008247,vezf1a,protein_coding,  797.29499, 2.142210,0.1794378,11.938454,7.459678e-33,1.617109e-28,1.519109e+03, 240.119368, 224.527287, 286.9210411, 318.0170421, 321.5677016, 1093.298279, 1251.132930, 984.5904698,1305.589853, 1225.372043,10,37081654,37126562, 44909,+,vezf1a,ENSDARG00000008247, 1,-37.1892243,0.988636364,0.981818182,0.961538462,0.847826087,0.472972973,0.436619718
   6,ENSDARG00000032578,pax2b,protein_coding,   87.49406, 3.992574,0.4308552, 9.266627,1.921252e-20,6.941483e-17,1.420613e+02,  17.704654,   3.563925,  12.3739533,   5.3002840,   9.5990359,  141.754024,   98.047968, 186.8235933, 245.175523,  100.030371,12,45799982,45878387, 78406,-,pax2b,ENSDARG00000032578, 3,  9.0895548,0.348309400,0.357760053,0.388241240,0.514583333,0.356980057,0.437069933
  12,ENSDARG00000038974,DPYSL2 (1 of many),protein_coding,   40.13174,-6.138924,0.6887725,-8.912846,4.973898e-19,8.985347e-16,9.470754e-01,  99.588678, 105.135793, 102.0851143,  72.6896096,  54.8516335,    0.000000,    1.021333,   1.5066419,   3.623284,    0.000000,8, 5119360, 5157545, 38186,-,DPYSL2 (1 of many),ENSDARG00000038974, 1, 18.7412831,0.812500000,0.955555556,0.571428571,0.982456140,1.000000000,0.950000000
  17,ENSDARG00000102820,cib2,protein_coding,  196.12584,-2.508487,0.2919524,-8.592108,8.538817e-18,1.088850e-14,5.019500e+01, 424.911693, 514.987190, 316.3091801, 310.4452078, 215.9783070,   50.510055,   53.109316,  76.0854150,  54.349254,   90.503669,25,25666392,25738958, 72567,-,cib2,ENSDARG00000102820, 2,  4.2932685,0.539393939,0.417441860,0.277777778,0.463461538,0.166666667,0.757711443
  21,ENSDARG00000104380,si:dkey-238k10.2,protein_coding,   61.60144,-6.849448,0.8039457,-8.519789,1.598439e-17,1.664045e-14,0.000000e+00,  73.031697, 232.546119, 213.4506936,  74.9611599,  77.4779324,    0.000000,    0.000000,   3.7666047,   0.000000,    2.381675,4,77759901,78048911,289011,+,si:dkey-238k10.2,ENSDARG00000104380, 5, 12.3752532,0.607341767,0.656605230,0.543621449,0.687620415,0.754914273,0.741753247
  24,ENSDARG00000040087,epb41l4a,protein_coding,  147.78472,-2.025118,0.2416638,-8.379901,5.297246e-17,4.784738e-14,6.440113e+01, 221.308173, 261.948502, 206.4903449, 276.3719533, 288.6567214,   60.286194,   48.002651,  55.7457496,  50.725970,   91.694507,10, 1745475, 1829225, 83751,-,epb41l4a,ENSDARG00000040087, 5,  7.2560877,0.652422986,0.769527185,0.660129821,0.766190824,0.770624485,0.707390084
  25,ENSDARG00000004415,tcf7l2,protein_coding,  566.61168, 2.001205,0.2396468, 8.350642,6.789291e-17,5.887130e-14,5.862397e+02, 195.857733, 256.602614, 275.3204599, 149.9223199, 196.0945899,  808.160874, 1102.018312, 747.2943734, 789.875822, 1125.341672,12,30977736,31105906,128171,-,tcf7l2,ENSDARG00000004415, 1,-27.9674797,0.416666667,0.509090909,0.464285714,0.250000000,0.136363636,0.250000000
  32,ENSDARG00000011582,sox5,protein_coding,  157.20331,-2.477090,0.3112783,-7.957799,1.751264e-15,1.186372e-12,4.830084e+01, 443.722888, 311.843454, 228.1447631, 252.1420834, 187.1811994,   53.768768,   81.706640,  44.4459355,  41.063881,   36.915970,4,16982249,17057950, 75702,-,sox5,ENSDARG00000011582, 1, 20.4292929,0.687500000,0.764705882,0.700000000,0.944444444,1.000000000,0.875000000
  33,ENSDARG00000079238,trim59,protein_coding,  255.88001, 2.064943,0.2598711, 7.946030,1.925839e-15,1.265101e-12,3.513650e+02,  64.179370,  88.207149,  88.1644169,  94.6479292, 130.2726296,  606.120655,  394.234540, 305.0949811, 376.821493,  315.572003,15, 1574356, 1586137, 11782,-,trim59,ENSDARG00000079238, 1,-41.3461538,1.000000000,0.911111111,0.727272727,0.307692308,0.800000000,0.500000000
  39,ENSDARG00000040380,arhgef1a,protein_coding,  125.45172,-2.219900,0.2837333,-7.823895,5.121348e-15,2.846682e-12,4.261839e+01, 214.668928, 211.162568, 223.5045307, 296.0587225, 150.8419922,   52.139411,   51.066650,  36.9127261,  68.842388,   32.152619,19,11039517,11108315, 68799,-,arhgef1a,ENSDARG00000040380, 1, 16.7190147,0.744186047,0.860869565,0.819277108,0.970588235,0.973684211,0.965648855
