seqnames,start,end,width,strand,gene_name,gene_id,EnrichNumber,MeanMethDiff,MeanBeta.WildType_1,MeanBeta.WildType_2,MeanBeta.WildType_3,MeanBeta.Mutation_1,MeanBeta.Mutation_2,MeanBeta.Mutation_3
12,33482458,33537126, 54669,+,slc9a3r1a,ENSDARG00000000068, 1,-28.410279559,0.407407407,0.414414414,0.590551181,0.236363636,0.004237288,0.421052632
24,22070290,22105585, 35296,-,dap,ENSDARG00000000069, 1,-32.352941176,0.500000000,0.111111111,0.307692308,0.000000000,0.000000000,0.000000000
10,13277079,13287169, 10091,+,tmem267,ENSDARG00000000142, 1,-18.021863613,0.900000000,0.916666667,0.904761905,0.887096774,0.611111111,0.484848485
22,11778053,11835334, 57282,-,ptpn4b,ENSDARG00000000183, 1,-17.272727273,1.000000000,1.000000000,1.000000000,0.790697674,0.818181818,0.866666667
16,30000605,30271444,270840,+,sema6e,ENSDARG00000000189, 1,-33.654990086,0.178571429,0.555555556,0.323529412,0.000000000,0.000000000,0.019230769
22,  565733,  584610, 18878,+,usp49,ENSDARG00000000229, 4,-56.265614273,0.991483229,0.988636364,0.932017544,0.310993640,0.380735931,0.653746499
9,40948569,41027062, 78494,-,pms1,ENSDARG00000000476, 3,  4.146383716,0.149340653,0.398944805,0.350700280,0.418067227,0.154929577,0.280952381
23,32199588,32238122, 38535,-,grasp,ENSDARG00000000588, 1,-22.884615385,1.000000000,0.860465116,0.823529412,0.437500000,0.818181818,0.661538462
13,24665334,24671258,  5925,-,znf511,ENSDARG00000000760, 2, 16.474605207,0.705882353,0.783333333,0.947368421,0.979379252,1.000000000,0.951546003
24,37797818,37823488, 25671,+,telo2,ENSDARG00000000830, 3, 34.980057851,0.722638681,0.472514620,0.520965309,0.956565657,0.934902628,0.896604938
22,  472327,  508522, 36196,-,dstyk,ENSDARG00000000853, 1,-22.431245225,1.000000000,0.929824561,0.860000000,0.734693878,0.666666667,0.692307692
7,41158225,41275897,117673,+,scrib,ENSDARG00000000861, 2,  0.478759751,0.568627451,0.377964427,0.199042408,0.511111111,0.370535714,0.242424242
6, 7247531, 7280299, 32769,+,dzip1,ENSDARG00000000943, 1,-33.092812677,0.893617021,0.777777778,0.959183673,0.360000000,0.660714286,0.581395349
8,43379436,43576935,197500,-,ncor2,ENSDARG00000000966, 2, 10.427345821,0.441666667,0.282085561,0.436868687,0.510132774,0.512757491,0.465640547
3, 5102656, 5230841,128186,-,myh9b,ENSDARG00000001014, 3,  8.709366904,0.823412698,0.716691805,0.620227038,0.869281046,0.752639517,0.714961162
25,35248976,35271284, 22309,+,slc17a6a,ENSDARG00000001127, 1, 21.813397129,0.638888889,0.488888889,0.210526316,0.696000000,0.543478261,0.947368421
8,43941313,44017210, 75898,-,rimbp2,ENSDARG00000001154, 1,-22.641252553,0.937500000,0.468750000,0.352941176,0.545454545,0.366197183,0.000000000
7,17648931,17692983, 44053,-,map4k2,ENSDARG00000001234, 1,-42.504409171,0.950354610,0.961538462,0.880000000,0.593220339,0.314606742,0.829268293
